League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,11,8,759,8.4,0,0,0,0,0,1,0
EPL,2019-2020,18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,25,20,"1,497",16.6,1,4,1,0,0,1,0
EPL,2019-2020,19,Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,3,1,73,0.8,1,0,1,0,0,0,1
EPL,2019-2020,20,Angeliño,es ESP,DF,Manchester City,22,1997,6,4,423,4.7,0,0,0,0,0,1,0
EPL,2019-2020,21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0.2,0,0,0,0,0,0,0
EPL,2019-2020,22,Michail Antonio,eng ENG,FW,West Ham,29,1990,24,19,"1,768",19.6,10,3,9,1,1,3,0
EPL,2019-2020,23,Stuart Armstrong,sco SCO,MF,Southampton,27,1992,30,19,"1,715",19.1,5,3,5,0,0,4,0
EPL,2019-2020,24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,"2,970",33.0,0,0,0,0,0,0,0
EPL,2019-2020,25,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,27,1992,19,6,749,8.3,0,3,0,0,0,2,0
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,26,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,36,35,"3,136",34.8,22,3,20,2,2,3,1
EPL,2019-2020,27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,33,31,"2,700",30.0,1,5,1,0,0,4,1
EPL,2019-2020,28,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,37,37,"3,148",35.0,9,2,9,0,0,6,0
EPL,2019-2020,29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,"3,229",35.9,2,6,2,0,0,1,0
EPL,2019-2020,30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,1.7,0,0,0,0,0,0,0
EPL,2019-2020,31,Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,4.5,0,0,0,0,0,0,0
EPL,2019-2020,32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,"1,177",13.1,1,0,1,0,0,2,0
EPL,2019-2020,33,George Baldock,eng ENG,DF,Sheffield Utd,26,1993,38,38,"3,420",38.0,2,3,2,0,0,7,0
EPL,2019-2020,34,Phil Bardsley,sco SCO,DF,Burnley,34,1985,21,21,"1,890",21.0,0,1,0,0,0,6,0
EPL,2019-2020,35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,"1,103",12.3,1,4,1,0,0,0,0
EPL,2019-2020,36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,17,"1,352",15.0,6,0,5,1,1,4,0
EPL,2019-2020,37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,36,24,"2,083",23.1,6,8,6,0,0,0,0
EPL,2019-2020,38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,"3,242",36.0,0,1,0,0,0,4,0
EPL,2019-2020,39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,2,0,18,0.2,0,0,0,0,0,0,0
EPL,2019-2020,40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,2.7,1,1,1,0,0,0,0
EPL,2019-2020,41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34,34,"3,057",34.0,1,1,1,0,0,4,0
EPL,2019-2020,42,Héctor Bellerín,es ESP,DF,Arsenal,24,1995,15,13,"1,158",12.9,1,0,1,0,0,2,0
EPL,2019-2020,43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,6.7,0,0,0,0,0,2,0
EPL,2019-2020,44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,3.7,0,0,0,0,0,0,0
EPL,2019-2020,45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,8.3,0,0,0,0,0,2,0
EPL,2019-2020,46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,"1,261",14.0,2,1,2,0,0,4,1
EPL,2019-2020,47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,12,6,621,6.9,1,1,1,0,0,0,0
EPL,2019-2020,48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,10.5,1,1,1,0,0,0,0
EPL,2019-2020,49,Steven Bergwijn,nl NED,"FW,MF",Tottenham,21,1997,14,8,704,7.8,3,1,3,0,0,2,0
EPL,2019-2020,50,Bernard,br BRA,"MF,FW",Everton,26,1992,27,15,"1,280",14.2,3,2,3,0,0,2,0
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,51,Bernardo,br BRA,DF,Brighton,24,1995,14,7,679,7.5,0,0,0,0,0,1,0
EPL,2019-2020,52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,32,31,"2,742",30.5,1,1,1,0,0,3,1
EPL,2019-2020,53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,2.8,0,0,0,0,0,2,0
EPL,2019-2020,54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,29,"2,530",28.1,1,1,1,0,0,8,0
EPL,2019-2020,55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,15,"1,259",14.0,1,0,1,0,0,4,0
EPL,2019-2020,56,Willy Boly,ci CIV,DF,Wolves,28,1991,22,22,"1,979",22.0,0,1,0,0,0,3,1
EPL,2019-2020,57,Gaëtan Bong,cm CMR,"MF,DF",Brighton,31,1988,4,0,59,0.7,0,0,0,0,0,0,0
EPL,2019-2020,58,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,20,8,764,8.5,0,2,0,0,0,2,0
EPL,2019-2020,59,Jarrod Bowen,eng ENG,FW,West Ham,22,1996,13,11,917,10.2,1,4,1,0,0,0,0
EPL,2019-2020,60,Robbie Brady,ie IRL,MF,Burnley,27,1992,17,5,454,5.0,1,2,1,0,0,1,0
EPL,2019-2020,61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,3.3,0,0,0,0,0,0,0
EPL,2019-2020,62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,0,0,0,0,0,0,0
EPL,2019-2020,63,Armando Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0.1,0,0,0,0,0,0,0
EPL,2019-2020,64,David Brooks,wal WAL,MF,Bournemouth,22,1997,9,8,506,5.6,1,0,1,0,0,1,0
EPL,2019-2020,65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,8.9,0,0,0,0,0,2,0
EPL,2019-2020,66,Emi Buendía,ar ARG,"FW,MF",Norwich City,22,1996,36,28,"2,464",27.4,1,7,1,0,0,6,1
EPL,2019-2020,67,Dan Burn,eng ENG,DF,Brighton,27,1992,34,33,"2,880",32.0,0,0,0,0,0,5,0
EPL,2019-2020,68,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,"1,293",14.4,0,0,0,0,0,4,0
EPL,2019-2020,69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5.0,0,0,0,0,0,0,0
EPL,2019-2020,70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,"2,167",24.1,0,1,0,0,0,1,0
EPL,2019-2020,71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,"2,626",29.2,13,1,13,0,0,9,0
EPL,2019-2020,72,Víctor Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,6,0.1,0,0,0,0,0,0,0
EPL,2019-2020,73,João Cancelo,pt POR,DF,Manchester City,25,1994,17,13,"1,208",13.4,0,0,0,0,0,4,0
EPL,2019-2020,74,Todd Cantwell,eng ENG,"FW,MF",Norwich City,21,1998,37,30,"2,489",27.7,6,2,6,0,0,6,0
EPL,2019-2020,75,Étienne Capoue,fr FRA,MF,Watford,31,1988,30,30,"2,627",29.2,0,3,0,0,0,8,0
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,7.0,0,4,0,0,0,1,0
EPL,2019-2020,77,Jonny Castro,es ESP,DF,Wolves,25,1994,35,33,"2,887",32.1,2,2,2,0,0,4,0
EPL,2019-2020,78,Craig Cathcart,nir NIR,DF,Watford,30,1989,29,28,"2,488",27.6,0,0,0,0,0,7,0
EPL,2019-2020,79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,18,"1,692",18.8,0,2,0,0,0,1,0
EPL,2019-2020,80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,10.3,0,1,0,0,0,1,0
EPL,2019-2020,81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,"1,102",12.2,1,1,1,0,0,5,0
EPL,2019-2020,82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,27,"2,373",26.4,3,3,3,0,0,3,0
EPL,2019-2020,83,Tahith Chong,nl NED,"FW,MF",Manchester Utd,19,1999,3,0,37,0.4,0,0,0,0,0,0,0
EPL,2019-2020,84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,20,10,893,9.9,1,1,1,0,0,4,1
EPL,2019-2020,85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,21,"1,751",19.5,0,0,0,0,0,5,0
EPL,2019-2020,86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,"1,186",13.2,2,0,2,0,0,3,0
EPL,2019-2020,87,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,2,0,35,0.4,0,0,0,0,0,0,0
EPL,2019-2020,88,Tom Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,10.8,1,0,1,0,0,2,0
EPL,2019-2020,89,Conor Coady,eng ENG,DF,Wolves,26,1993,38,38,"3,420",38.0,0,0,0,0,0,5,0
EPL,2019-2020,90,Séamus Coleman,ie IRL,DF,Everton,30,1988,27,21,"1,839",20.4,0,1,0,0,0,5,1
EPL,2019-2020,91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,14,"1,258",14.0,3,1,3,0,0,0,0
EPL,2019-2020,92,Lewis Cook,eng ENG,MF,Bournemouth,22,1997,27,14,"1,352",15.0,0,0,0,0,0,5,0
EPL,2019-2020,93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,28,"2,428",27.0,1,0,1,0,0,6,1
EPL,2019-2020,94,Jack Cork,eng ENG,MF,Burnley,30,1989,30,30,"2,613",29.0,0,0,0,0,0,1,0
EPL,2019-2020,95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,31,"2,727",30.3,3,0,3,0,0,7,0
EPL,2019-2020,96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,3.3,2,0,2,0,0,0,0
EPL,2019-2020,97,Diogo Dalot,pt POR,DF,Manchester Utd,20,1999,4,1,67,0.7,0,0,0,0,0,0,0
EPL,2019-2020,98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,1.4,0,0,0,0,0,0,0
EPL,2019-2020,99,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,"1,266",14.1,0,1,0,0,0,0,0
EPL,2019-2020,100,Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,277,3.1,0,1,0,0,0,2,1
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,101,Ben Davies,wal WAL,DF,Tottenham,26,1993,18,16,"1,431",15.9,0,0,0,0,0,6,0
EPL,2019-2020,102,Tom Davies,eng ENG,MF,Everton,21,1998,30,23,"2,027",22.5,1,0,1,0,0,8,0
EPL,2019-2020,103,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,18,4,548,6.1,0,0,0,0,0,0,0
EPL,2019-2020,104,Craig Dawson,eng ENG,DF,Watford,29,1990,29,26,"2,361",26.2,2,0,2,0,0,6,0
EPL,2019-2020,105,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,35,32,"2,791",31.0,13,20,11,2,2,3,0
EPL,2019-2020,106,Troy Deeney,eng ENG,FW,Watford,31,1988,27,26,"2,225",24.7,10,2,5,5,6,3,0
EPL,2019-2020,107,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,"1,190",13.2,0,0,0,0,0,5,1
EPL,2019-2020,108,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,38,32,"2,795",31.1,4,0,4,0,0,5,0
EPL,2019-2020,109,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,"2,098",23.3,4,5,3,1,1,3,0
EPL,2019-2020,110,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,19,15,"1,344",14.9,0,2,0,0,0,5,0
EPL,2019-2020,111,Lucas Digne,fr FRA,DF,Everton,26,1993,35,35,"3,030",33.7,0,7,0,0,0,6,0
EPL,2019-2020,112,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38,38,"3,420",38.0,5,1,5,0,0,1,0
EPL,2019-2020,113,Issa Diop,fr FRA,DF,West Ham,22,1997,32,31,"2,766",30.7,3,1,3,0,0,8,0
EPL,2019-2020,114,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,18,10,928,10.3,2,2,2,0,0,4,1
EPL,2019-2020,115,Matt Doherty,ie IRL,DF,Wolves,27,1992,36,32,"2,839",31.5,4,3,4,0,0,1,0
EPL,2019-2020,116,Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,37,36,"3,156",35.1,4,2,4,0,0,9,0
EPL,2019-2020,117,Thomas Doyle,eng ENG,"MF,FW",Manchester City,17,2001,1,0,16,0.2,0,0,0,0,0,0,0
EPL,2019-2020,118,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,2.9,0,0,0,0,0,1,0
EPL,2019-2020,119,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0.6,0,0,0,0,0,0,0
EPL,2019-2020,120,Josip Drmić,ch SUI,"FW,MF",Norwich City,26,1992,21,5,647,7.2,1,0,1,0,0,0,1
EPL,2019-2020,121,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,"3,420",38.0,0,0,0,0,0,0,0
EPL,2019-2020,122,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10,9,724,8.0,0,0,0,0,0,0,0
EPL,2019-2020,123,Shane Duffy,ie IRL,DF,Brighton,27,1992,19,12,"1,238",13.8,1,0,1,0,0,2,0
EPL,2019-2020,124,Paul Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,14,"1,228",13.6,0,0,0,0,0,2,0
EPL,2019-2020,125,Lewis Dunk,eng ENG,DF,Brighton,27,1991,36,36,"3,230",35.9,3,3,3,0,0,9,0
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,126,Ederson,br BRA,GK,Manchester City,25,1993,35,35,"3,071",34.1,0,0,0,0,0,3,1
EPL,2019-2020,127,John Egan,ie IRL,DF,Sheffield Utd,26,1992,36,36,"3,187",35.4,2,0,2,0,0,5,1
EPL,2019-2020,128,Harvey Elliot,eng ENG,DF,Liverpool,16,2003,2,0,8,0.1,0,0,0,0,0,0,0
EPL,2019-2020,129,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,18,11,"1,031",11.5,1,1,1,0,0,1,0
EPL,2019-2020,130,Björn Engels,be BEL,DF,Aston Villa,24,1994,17,15,"1,447",16.1,1,0,1,0,0,1,0
EPL,2019-2020,131,Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,20,10,"1,097",12.2,2,2,2,0,0,5,0
EPL,2019-2020,132,Jonny Evans,nir NIR,DF,Leicester City,31,1988,38,38,"3,383",37.6,1,1,1,0,0,8,1
EPL,2019-2020,133,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,"2,117",23.5,0,0,0,0,0,1,0
EPL,2019-2020,134,Fabinho,br BRA,MF,Liverpool,25,1993,28,22,"2,079",23.1,2,3,2,0,0,6,0
EPL,2019-2020,135,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0.2,0,0,0,0,0,0,0
EPL,2019-2020,136,Akin Famewo,eng ENG,MF,Norwich City,20,1998,1,0,1,0.0,0,0,0,0,0,0,0
EPL,2019-2020,137,Kiko Femenía,es ESP,DF,Watford,28,1991,28,26,"2,237",24.9,0,0,0,0,0,5,0
EPL,2019-2020,138,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,14,14,"1,186",13.2,8,7,4,4,4,2,0
EPL,2019-2020,139,Gedson Fernandes,pt POR,"MF,DF",Tottenham,20,1999,7,0,68,0.8,0,0,0,0,0,0,0
EPL,2019-2020,140,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,32,29,"2,620",29.1,2,2,2,0,0,8,0
EPL,2019-2020,141,Fernandinho,br BRA,DF,Manchester City,34,1985,30,26,"2,397",26.6,0,1,0,0,0,9,2
EPL,2019-2020,142,Roberto Firmino,br BRA,FW,Liverpool,27,1991,38,34,"2,988",33.2,9,8,9,0,0,0,0
EPL,2019-2020,143,John Fleck,sco SCO,MF,Sheffield Utd,27,1991,30,28,"2,516",28.0,5,2,5,0,0,8,0
EPL,2019-2020,144,Phil Foden,eng ENG,"FW,MF",Manchester City,19,2000,23,9,901,10.0,5,2,5,0,0,0,0
EPL,2019-2020,145,Pablo Fornals,es ESP,"MF,FW",West Ham,23,1996,36,24,"2,172",24.1,2,5,2,0,0,3,0
EPL,2019-2020,146,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,"3,420",38.0,0,0,0,0,0,1,0
EPL,2019-2020,147,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,3,2,136,1.5,0,0,0,0,0,1,0
EPL,2019-2020,148,Dimitri Foulquier,fr FRA,"MF,DF",Watford,26,1993,3,1,59,0.7,0,0,0,0,0,0,0
EPL,2019-2020,149,Juan Foyth,ar ARG,DF,Tottenham,21,1998,4,1,68,0.8,0,0,0,0,0,1,0
EPL,2019-2020,150,Simon Francis,eng ENG,DF,Bournemouth,34,1985,15,10,969,10.8,0,0,0,0,0,5,1
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,151,Ryan Fraser,sco SCO,"MF,FW",Bournemouth,25,1994,28,21,"2,067",23.0,1,4,1,0,0,2,0
EPL,2019-2020,152,Fred,br BRA,MF,Manchester Utd,26,1993,29,23,"2,163",24.0,0,0,0,0,0,8,0
EPL,2019-2020,153,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,27,25,"2,237",24.9,0,3,0,0,0,7,0
EPL,2019-2020,154,Kieron Freeman,wal WAL,FW,Sheffield Utd,27,1992,2,0,7,0.1,0,0,0,0,0,0,0
EPL,2019-2020,155,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,11,3,366,4.1,0,0,0,0,0,2,0
EPL,2019-2020,156,Christian Fuchs,at AUT,DF,Leicester City,33,1986,11,8,772,8.6,0,0,0,0,0,0,0
EPL,2019-2020,157,Eric García,es ESP,DF,Manchester City,18,2001,13,8,793,8.8,0,0,0,0,0,1,0
EPL,2019-2020,158,James Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,9,0.1,0,0,0,0,0,0,0
EPL,2019-2020,159,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,20,10,850,9.4,4,2,4,0,0,2,0
EPL,2019-2020,160,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,"1,613",17.9,0,0,0,0,0,1,0
EPL,2019-2020,161,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,2,1,136,1.5,0,0,0,0,0,0,0
EPL,2019-2020,162,David de Gea,es ESP,GK,Manchester Utd,28,1990,38,38,"3,420",38.0,0,0,0,0,0,2,0
EPL,2019-2020,163,Anwar El Ghazi,nl NED,"FW,MF",Aston Villa,24,1995,34,26,"2,051",22.8,4,4,3,1,1,3,0
EPL,2019-2020,164,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,19,2000,7,1,129,1.4,0,0,0,0,0,0,0
EPL,2019-2020,165,Billy Gilmour,sco SCO,MF,Chelsea,18,2001,6,2,194,2.2,0,0,0,0,0,0,0
EPL,2019-2020,166,Olivier Giroud,fr FRA,FW,Chelsea,32,1986,18,12,993,11.0,8,0,8,0,0,1,0
EPL,2019-2020,167,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,30,30,"2,644",29.4,0,0,0,0,0,3,1
EPL,2019-2020,168,André Gomes,pt POR,MF,Everton,26,1993,19,17,"1,458",16.2,0,1,0,0,0,6,0
EPL,2019-2020,169,Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,2,0,21,0.2,0,0,0,0,0,0,0
EPL,2019-2020,170,Joe Gomez,eng ENG,DF,Liverpool,22,1997,28,22,"2,004",22.3,0,0,0,0,0,7,0
EPL,2019-2020,171,Anthony Gordon,eng ENG,"MF,FW",Everton,18,2001,11,4,440,4.9,0,1,0,0,0,0,0
EPL,2019-2020,172,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,24,14,"1,264",14.0,3,1,3,0,0,3,0
EPL,2019-2020,173,Andre Gray,jm JAM,FW,Watford,28,1991,23,7,755,8.4,2,0,2,0,0,1,0
EPL,2019-2020,174,Demarai Gray,eng ENG,"MF,FW",Leicester City,23,1996,21,3,622,6.9,2,3,2,0,1,1,0
EPL,2019-2020,175,Jack Grealish,eng ENG,"FW,MF",Aston Villa,23,1995,36,36,"3,233",35.9,8,6,8,0,1,8,0
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2019-2020,176,Mason Greenwood,eng ENG,FW,Manchester Utd,17,2001,31,12,"1,320",14.7,10,1,10,0,0,0,0
EPL,2019-2020,177,Arnaut Groeneveld,nl NED,MF,Bournemouth,22,1997,14,6,630,7.0,0,0,0,0,0,0,0
EPL,2019-2020,178,Pascal Groß,de GER,"FW,MF",Brighton,28,1991,29,22,"1,796",20.0,2,4,2,0,0,4,0
EPL,2019-2020,179,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,"3,150",35.0,0,0,0,0,0,1,0
EPL,2019-2020,180,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,24,19,"1,748",19.4,0,1,0,0,0,6,0
EPL,2019-2020,181,Frederic Guilbert,fr FRA,DF,Aston Villa,24,1994,25,22,"2,041",22.7,0,2,0,0,0,7,0
EPL,2019-2020,182,İlkay Gündoğan,de GER,MF,Manchester City,28,1990,31,21,"2,020",22.4,2,1,1,1,2,7,0
EPL,2019-2020,183,Angus Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,10.0,0,0,0,0,0,0,0
EPL,2019-2020,184,Sébastien Haller,ci CIV,FW,West Ham,25,1994,32,24,"2,266",25.2,7,1,7,0,0,1,0
EPL,2019-2020,185,Grant Hanley,sco SCO,DF,Norwich City,27,1991,15,14,"1,262",14.0,0,0,0,0,0,4,0
EPL,2019-2020,186,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,18,17,"1,545",17.2,1,0,1,0,0,3,0
EPL,2019-2020,187,Isaac Hayden,eng ENG,MF,Newcastle Utd,24,1995,29,26,"2,223",24.7,1,2,1,0,0,4,1
EPL,2019-2020,188,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,"1,794",19.9,0,0,0,0,0,0,0
EPL,2019-2020,189,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,"3,240",36.0,0,0,0,0,0,2,0
EPL,2019-2020,190,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,30,26,"2,238",24.9,4,5,4,0,0,2,0
EPL,2019-2020,191,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,24,22,"1,931",21.5,2,2,2,0,0,8,0
EPL,2019-2020,192,Wayne Hennessey,wal WAL,GK,Crystal Palace,32,1987,3,3,270,3.0,0,0,0,0,0,0,0
EPL,2019-2020,193,Javier Hernández,mx MEX,FW,West Ham,31,1988,2,1,107,1.2,1,0,1,0,0,0,0
EPL,2019-2020,194,Onel Hernández,cu CUB,"FW,MF",Norwich City,26,1993,26,14,"1,384",15.4,1,2,1,0,0,0,0
EPL,2019-2020,195,Son Heung-min,kr KOR,"FW,MF",Tottenham,27,1992,30,28,"2,476",27.5,11,10,11,0,1,0,2
EPL,2019-2020,196,George Hirst,eng ENG,FW,Leicester City,20,1999,2,0,11,0.1,0,0,0,0,0,0,0
EPL,2019-2020,197,Rob Holding,eng ENG,DF,Arsenal,23,1995,8,6,581,6.5,0,0,0,0,0,1,0
EPL,2019-2020,198,José Holebas,gr GRE,DF,Watford,35,1984,14,11,"1,025",11.4,0,0,0,0,0,5,0
