rank,name,confed,off,def,spi
149,Palestine,AFC,0.73,1.61,25.24
150,Belize,CONCACAF,0.79,1.73,24.84
151,Suriname,CONCACAF,0.76,1.71,24.52
152,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
153,Chad,CAF,0.81,1.81,24.19
154,Malta,UEFA,0.77,1.78,23.51
155,Solomon Islands,OFC,0.69,1.71,22.71
156,South Sudan,CAF,0.67,1.69,22.53
157,Zanzibar,CAF,0.49,1.47,21.39
158,Swaziland,CAF,0.64,1.73,21.27
159,Puerto Rico,CONCACAF,0.73,1.89,21.11
160,New Caledonia,OFC,0.69,1.85,20.92
161,Malaysia,AFC,0.76,1.98,20.71
162,Tajikistan,AFC,0.77,2.0,20.57
163,Barbados,CONCACAF,0.54,1.61,20.53
164,Dominica,CONCACAF,0.55,1.65,20.29
165,Eritrea,CAF,0.79,2.1,19.77
166,Tahiti,OFC,0.81,2.15,19.56
167,Philippines,AFC,0.72,2.02,19.31
168,Singapore,AFC,0.65,2.05,17.47
169,Sao Tome and Principe,CAF,0.8,2.4,16.54
170,India,AFC,0.54,1.94,16.45
171,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
172,Hong Kong,AFC,0.34,1.57,16.04
173,Grenada,CONCACAF,0.68,2.22,16.04
174,Vanuatu,OFC,0.64,2.17,15.99
175,Mauritius,CAF,0.7,2.31,15.5
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Yemen,AFC,0.51,2.09,14.29
178,Liechtenstein,UEFA,0.52,2.39,11.54
179,Gibraltar,UEFA,0.47,2.3,11.5
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Andorra,UEFA,0.32,2.08,10.45
183,Djibouti,CAF,0.64,2.85,10.03
184,Indonesia,AFC,0.62,2.83,9.93
185,Myanmar,AFC,0.57,2.71,9.91
186,Montserrat,CONCACAF,0.81,3.24,9.65
187,Papua New Guinea,OFC,0.6,2.88,9.16
188,Somalia,CAF,0.55,2.8,8.97
189,Cayman Islands,CONCACAF,0.37,2.69,7.23
190,Seychelles,CAF,0.41,2.8,7.04
191,Maldives,AFC,0.41,2.81,7.01
192,Bahamas,CONCACAF,0.67,3.5,6.66
193,Bangladesh,AFC,0.26,2.49,6.63
194,French Guiana,CONCACAF,0.52,3.18,6.57
195,Nepal,AFC,0.22,2.47,6.19
196,San Marino,UEFA,0.27,2.8,5.39
197,Chinese Taipei,AFC,0.45,3.48,4.58
198,Mongolia,AFC,0.21,2.89,4.27
199,British Virgin Islands,CONCACAF,0.42,3.62,3.88
200,Bonaire,CONCACAF,0.37,3.59,3.5
201,Cambodia,AFC,0.28,3.35,3.44
202,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
203,Guam,AFC,0.51,4.42,2.48
204,Guadeloupe,CONCACAF,0.2,3.49,2.47
205,Anguilla,CONCACAF,0.33,3.97,2.33
206,Brunei,AFC,0.21,3.71,2.13
207,US Virgin Islands,CONCACAF,0.36,4.24,2.06
208,Sri Lanka,AFC,0.2,3.81,1.87
209,Pakistan,AFC,0.2,3.92,1.71
210,Laos,AFC,0.21,4.11,1.48
211,Bhutan,AFC,0.22,4.62,0.98
212,St. Martin,CONCACAF,0.23,4.89,0.81
213,Sint Maarten,CONCACAF,0.21,4.93,0.74
214,Tuvalu,OFC,0.38,5.62,0.7
215,Timor-Leste,AFC,0.33,5.56,0.64
216,Macau,AFC,0.2,5.11,0.6
217,Samoa,OFC,0.2,5.78,0.34
218,Tonga,OFC,0.2,6.08,0.26
